"Alo.dadayi";"Alo.hamulata";"Alonella.sp";"Bdelloidea";"Bra.patulus";"Cephalodella.sp";"Colurella.sp";"Copepodite";"Chydorus.sp";"Dicranophoroides.sp";"Dia.birgei";"Dia.spinulosum";"Dis.aculeata";"Euc.dilatata";"Fil.longiseta";"Ily.spinifer";"Lec.aculeata";"Lec.bulla";"Lec.cornuta";"Lec.crepida";"Lec.curvicornis";"Lec.furcata";"Lecane.sp1";"Lec.leontina";"Lec.lunaris";"Lec.luna";"Lec.monostyla";"Lecane.sp2";"Lec.papuana";"Lec.quadridentata";"Lecane.sp3";"Leydigia.sp";"Lepadella.sp1";"Lepadella.sp2";"Lep.ovalis";"Lep.patella";"Mesocyclops.sp";"Macrocyclops.sp";"Macrochaetus.sp";"Macrothrix.sp";"Mac.mira";"Mac.laticornis";"Moi.minuta";"Myt.crassipes";"Mytilina.sp";"Myt.bisulcata";"Nauplii";"Notodiaptomus.sp";"Paracyclops.sp";"Pla.quadricornis";"Polyarthra.sp";"Pol.bicerca";"Pol.dolichoptera";"Pol.vulgaris";"Tes.patina";"Tes.mucronata";"Trichocerca.sp";"Tri.tetractis"
"C-B";47,5555555555556;9,38888888888889;3,55555555555556;107,222222222222;0,166666666666667;0,444444444444444;0;111,5;27,9444444444444;0;1,33333333333333;0;0;0;0;0,888888888888889;0;0,5;0,222222222222222;0,0555555555555556;0,277777777777778;0;0;4,61111111111111;0,277777777777778;0,222222222222222;0;0;0;0;0;0;0;0;0,277777777777778;0,166666666666667;5,22222222222222;1,27777777777778;1,38888888888889;0,166666666666667;1,88888888888889;0,666666666666667;0,222222222222222;0;0;0;36;0;6,44444444444444;9,77777777777778;0;0,0555555555555556;0;0,0555555555555556;0,166666666666667;0;0,0555555555555556;0
"C-C";6,25925925925926;1,77777777777778;1,25925925925926;90,1851851851852;8,18518518518519;0;0,296296296296296;54,037037037037;12,2592592592593;0;12,8148148148148;0;0;0;0,037037037037037;7,48148148148148;2,2962962962963;0,814814814814815;4,44444444444444;0,37037037037037;22,7407407407407;0;0;1;2,74074074074074;6,7037037037037;0;0;1,14814814814815;0;0;1,03703703703704;0;0;0;0;1,55555555555556;0;0;0;6,55555555555556;8,59259259259259;1,62962962962963;0;0;0;19,4444444444444;1,18518518518519;1,77777777777778;7,66666666666667;0;0,037037037037037;0;0,037037037037037;2,11111111111111;1,44444444444444;0,0740740740740741;0
