"Alo.dadayi";"Alo.hamulata";"Alonella.sp";"Bdelloidea";"Bra.patulus";"Cephalodella.sp";"Colurella.sp";"Copepodite";"Chydorus.sp";"Dicranophoroides.sp";"Dia.birgei";"Dia.spinulosum";"Dis.aculeata";"Euc.dilatata";"Fil.longiseta";"Ily.spinifer";"Lec.aculeata";"Lec.bulla";"Lec.cornuta";"Lec.crepida";"Lec.curvicornis";"Lec.furcata";"Lecane.sp1";"Lec.leontina";"Lec.lunaris";"Lec.luna";"Lec.monostyla";"Lecane.sp2";"Lec.papuana";"Lec.quadridentata";"Lecane.sp3";"Leydigia.sp";"Lepadella.sp1";"Lepadella.sp2";"Lep.ovalis";"Lep.patella";"Mesocyclops.sp";"Macrocyclops.sp";"Macrochaetus.sp";"Macrothrix.sp";"Mac.mira";"Mac.laticornis";"Moi.minuta";"Myt.crassipes";"Mytilina.sp";"Myt.bisulcata";"Nauplii";"Notodiaptomus.sp";"Paracyclops.sp";"Pla.quadricornis";"Polyarthra.sp";"Pol.bicerca";"Pol.dolichoptera";"Pol.vulgaris";"Tes.patina";"Tes.mucronata";"Trichocerca.sp";"Tri.tetractis"
"C-B-P09-H3";"1";"2";"0";"149";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P10-H1";"7";"0";"0";"105";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P10-H2";"11";"1";"2";"116";"0";"1";"0";"8";"10";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"35";"0";"0";"0";"0";"1";"0";"0";"0"
"C-B-P10-H3";"36";"8";"5";"220";"2";"7";"0";"70";"13";"0";"10";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"6";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"107";"0";"1";"129";"0";"0";"0";"0";"0";"0";"1";"0"
"C-C-P12-H1";"3";"0";"0";"131";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P12-H2";"2";"0";"0";"209";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P12-H3";"5";"0";"0";"158";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P13-H1";"5";"0";"0";"107";"1";"0";"0";"14";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P13-H2";"4";"0";"0";"105";"0";"0";"0";"11";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P13-H3";"3";"2";"0";"157";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P14-H1";"0";"1";"0";"96";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"C-C-P14-H2";"8";"0";"0";"98";"0";"0";"0";"9";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P14-H3";"2";"0";"0";"68";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P15-H1";"2";"0";"0";"134";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0"
"C-C-P15-H2";"0";"0";"0";"69";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"C-C-P15-H3";"2";"0";"0";"78";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P16-H1";"50";"17";"26";"169";"85";"0";"0";"445";"142";"0";"145";"0";"0";"0";"0";"65";"25";"17";"38";"0";"141";"0";"0";"13";"36";"34";"0";"0";"19";"0";"0";"11";"0";"0";"0";"0";"12";"0";"0";"0";"41";"106";"4";"0";"0";"0";"169";"0";"14";"28";"0";"0";"0";"0";"18";"13";"0";"0"
"C-C-P16-H2";"3";"0";"5";"68";"40";"0";"7";"355";"58";"0";"65";"0";"0";"0";"0";"50";"0";"0";"35";"0";"40";"0";"0";"4";"0";"35";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"81";"25";"4";"0";"0";"0";"92";"15";"5";"25";"0";"0";"0";"0";"11";"10";"0";"0"
"C-C-P16-H3";"42";"16";"0";"44";"61";"0";"1";"381";"78";"0";"77";"0";"0";"0";"0";"82";"19";"2";"30";"10";"417";"0";"0";"3";"19";"67";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"9";"0";"0";"0";"54";"82";"36";"0";"0";"0";"99";"0";"10";"128";"0";"0";"0";"0";"8";"10";"0";"0"
"C-C-P17-H1";"1";"0";"0";"83";"2";"0";"0";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P17-H2";"18";"0";"3";"91";"14";"0";"0";"38";"21";"0";"12";"0";"0";"0";"1";"2";"11";"2";"1";"0";"8";"0";"0";"0";"8";"28";"0";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"13";"0";"0";"6";"0";"0";"0";"0";"16";"4";"0";"0"
"C-C-P17-H3";"0";"0";"0";"57";"4";"0";"0";"13";"9";"0";"5";"0";"0";"0";"0";"0";"5";"0";"6";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P18-H1";"4";"1";"0";"65";"2";"0";"0";"6";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P18-H2";"6";"0";"0";"107";"4";"0";"0";"84";"12";"0";"23";"0";"0";"0";"0";"2";"0";"0";"1";"0";"4";"0";"0";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"41";"1";"12";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P18-H3";"7";"0";"0";"39";"1";"0";"0";"49";"2";"0";"9";"0";"0";"0";"0";"0";"1";"0";"2";"0";"2";"0";"0";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"21";"16";"2";"4";"0";"1";"0";"0";"1";"1";"0";"0"
"C-C-P19-H1";"1";"2";"0";"105";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P19-H2";"0";"3";"0";"37";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P19-H3";"0";"5";"0";"36";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P20-H1";"1";"0";"0";"35";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P20-H2";"0";"1";"0";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0"
"C-C-P20-H3";"0";"0";"0";"50";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
